Resort Name,State,Double Chairs,Quad Chairs,Surface Lifts,Base,Summit,Vertical Drop,Longest Run,Snow Making,Beginner,Intermediate,Advanced,Expert
49 Degrees North,"Washington, USA",5,1,1,3932ft,5774ft,1851ft,2mi,0ac,0.3,0.4,0.25,0.05
Afton Alps,"Minnesota, USA",14,1,4,1180ft,1530ft,350ft,0.5mi,250ac,0.42,0.42,0.17,0
Alpental,"Snoqualmie Pass, USA",3,0,1,3140ft,5420ft,2280ft,1.2mi,0ac,0.14,0.45,0.41,0
Alpine Valley,"Ohio, USA",1,1,1,1260ft,1500ft,230ft,0.2mi,72ac,0.33,0.34,0.33,0
Alpine Valley Resort,"Wisconsin, USA",1,0,5,1020ft,1260ft,388ft,0.2mi,90ac,0.4,0.4,0.2,0
Alpine Valley Ski Area,"Michigan, USA",5,1,6,126ft,500ft,240ft,0.2mi,100ac,0.34,0.36,0.3,0
Alta Ski Area,"Utah, USA",2,0,4,8530ft,10550ft,2020ft,1.3mi,50ac,0.25,0.4,0.35,0
Alyeska Resort,"Alaska, USA",0,2,2,250ft,2750ft,2500ft,1mi,480ac,0.11,0.52,0.37,0
Andes Tower Hills Ski Area,"Minnesota, USA",0,1,4,1330ft,1620ft,290ft,0.2mi,35ac,0.25,0.25,0.44,0.06
Angel Fire Resort,"New Mexico, USA",3,0,2,8600ft,10677ft,2077ft,3mi,230ac,0.21,0.56,0.23,0
Anthony Lakes Mountain Resort,"Oregon, USA",0,0,2,7100ft,8000ft,900ft,1.5mi,0ac,0.2,0.38,0.42,0
Appalachian Ski Mountain,"Boone, USA",1,2,2,3635ft,4000ft,365ft,0.5mi,27ac,0.25,0.5,0.25,0
Apple Mountain,"Michigan, USA",0,1,5,600ft,820ft,220ft,0mi,42ac,0.4,0.4,0.2,0
Arapahoe Basin Ski Area,"Colorado, USA",3,1,3,10520ft,13050ft,2530ft,1.5mi,125ac,0.07,0.22,0.45,0.26
